blockage_conduit,blockage_sensor_node,total_true_fov_surcharge_down,total_est_fov_surcharge_down,total_true_fov_surcharge_thresh,total_est_fov_surcharge_thresh,POD,FAR,n_sensor
G75S510_G75S490_l1,G75S530,1440,850,247,850,1.0,0.0,333
G74F180_G74F170_l1,G74F191,521,108,95,108,0.968421052631579,0.0,333
G70F220_G70F210_l1,G70F220,510,4523,255,4523,1.0,0.8414762004613127,333
G72F677_G72F676_l1,G72F677,291,4613,129,4613,1.0,0.8664795509222133,333
G72F834_G72F830_l1,G72F835,349,242,82,242,1.0,0.0,333
G65F010_G64F080_l1,G70F100,5050,4519,3814,4519,1.0,0.029197080291970802,333
G73F672_G73F671_l1,G73F673,524,4789,1,4789,1.0,0.9207150368033649,333
G72F678_G72F676_l1,G72F678,196,4616,118,4616,1.0,0.8695652173913043,333
G70S020_G70S010_l1,G70S040,5279,4566,3911,4566,1.0,,333
G60O280_G60O272_l1,G60R281,684,622,211,622,1.0,0.0,333
G76R180_G76R185_l1,G76R182,0,0,0,0,,,333
G61F310_G61F290_l1,G61F310,416,4565,13,4565,1.0,0.8531770512029612,333
G75S540_G75S530_l1,G75S541,697,522,0,522,,0.0,333
G65F030_G65F020_l1,G70F100,5053,4565,3832,4565,1.0,0.007462686567164179,333
G80F460_G80F440_l1,G80F460,405,4527,133,4527,1.0,0.8457119409109561,333
G61F240_G61F230_l1,G61F261,990,854,83,854,1.0,0.0,333
G61F063_G61F062_l1,G61F065,795,299,149,299,0.9932885906040269,0.0,333
F74F440_F74F430_l1,G60F141,5159,5271,4735,5271,1.0,1.0,333
G71R080_G71R070_l1,G71R130,133,4573,40,4573,1.0,0.8896986409296829,333
G72R649_G72R648_l1,G72R650,500,415,31,415,1.0,0.0,333
G80F493_G80F492_l1,G80F493,451,4512,95,4512,1.0,0.8411350455675228,333
G72F316_G72F315_l1,G72F317,483,390,243,390,1.0,0.0,333
G72F013_G72F012_l1,G72F015,591,270,131,270,1.0,0.0,333
G60F260_G60F240_l1,G60F260,781,4354,714,4354,1.0,0.7943530457981325,333
G71F176_G71F174_l1,G71F176,542,4668,64,4668,1.0,0.9356132573358665,333
G61F163_G61F162_l1,G61F340,409,29,8,29,0.875,0.0,333
G61F080_G60F61Y_l1,G61F110,46,33,1,33,1.0,0.0,333
G73F310_G73F300_l1,G73F371,645,433,201,433,1.0,,333
G73R714_G73R713_l1,G73R723,617,36,0,36,,0.0,333
G73R716_G73R714_l1,G73R723,5066,5091,0,5091,,0.176056338028169,333
