blockage_conduit,blockage_sensor_node,total_true_fov_surcharge_down,total_est_fov_surcharge_down,total_true_fov_surcharge_thresh,total_est_fov_surcharge_thresh,POD,FAR,n_sensor
G75S510_G75S490_l1,G75S530,1440,850,303,850,1.0,0.0,478
G74F180_G74F170_l1,G74F210,521,289,289,289,0.9515570934256056,0.0,478
G70F220_G70F210_l1,G70F220,510,4523,506,4523,1.0,0.8414762004613127,478
G72F677_G72F676_l1,G72F677,291,4613,170,4613,1.0,0.8664795509222133,478
G72F834_G72F830_l1,G72F834,349,4602,110,4602,1.0,0.8626774847870182,478
G65F010_G64F080_l1,G70F030,5045,4737,4282,4737,1.0,0.0,478
G73F672_G73F671_l1,G73F673,524,4789,71,4789,1.0,0.9207150368033649,478
G72F678_G72F676_l1,G72F678,196,4616,144,4616,1.0,0.8695652173913043,478
G70S020_G70S010_l1,G70S040,5279,4566,4162,4566,1.0,,478
G60O280_G60O272_l1,G60O280,684,4634,518,4634,1.0,0.8731211317418214,478
G76R180_G76R185_l1,G76R182,0,0,0,0,,,478
G61F310_G61F290_l1,G61F310,416,4565,390,4565,1.0,0.8531770512029612,478
G75S540_G75S530_l1,G75S540,697,4254,557,4254,1.0,0.776298559580969,478
G65F030_G65F020_l1,G70F030,5052,4807,4319,4807,0.9995369298448715,0.0,478
G80F460_G80F440_l1,G80F460,405,4527,321,4527,1.0,0.8457119409109561,478
G61F240_G61F230_l1,G61F242,990,833,509,833,1.0,0.0,478
G61F063_G61F062_l1,G61F064,795,647,160,647,1.0,0.0,478
F74F440_F74F430_l1,G60F141,5159,5271,5038,5271,0.9984120682810639,1.0,478
G71R080_G71R070_l1,G71R130,133,4573,90,4573,0.6222222222222222,0.8896986409296829,478
G72R649_G72R648_l1,G72R650,500,415,208,415,1.0,0.0,478
G80F493_G80F492_l1,G80F493,451,4512,273,4512,1.0,0.8411350455675228,478
G72F316_G72F315_l1,G72F316,483,4713,464,4713,1.0,0.8819849874895747,478
G72F013_G72F012_l1,G72F013,591,4844,150,4844,1.0,0.9072098976109215,478
G60F260_G60F240_l1,G60F260,781,4354,756,4354,1.0,0.7943530457981325,478
G71F176_G71F174_l1,G71F176,542,4668,85,4668,1.0,0.9356132573358665,478
G61F163_G61F162_l1,G61F320,409,30,88,30,0.3409090909090909,0.0,478
G61F080_G60F61Y_l1,G61F110,46,33,37,33,0.8918918918918919,0.0,478
G73F310_G73F300_l1,G73F340,644,3381,354,3381,1.0,0.6066882416396979,478
G73R714_G73R713_l1,G73R714,617,4473,34,4473,0.029411764705882353,0.9597213150446331,478
G73R716_G73R714_l1,G73R723,5066,5091,14,5091,1.0,0.176056338028169,478
