blockage_conduit,blockage_sensor_node,total_true_fov_surcharge,total_est_fov_surcharge,POD,FAR,n_sensor
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,G75S541,247.0,292.0,1.0,0.008942766295707472,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,G75S520,247.0,1347.0,1.0,0.21860095389507153,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,10
G75S510_G75S490_l1,,,,,,200
G75S510_G75S490_l1,,,,,,200
G75S510_G75S490_l1,G75S530,247.0,850.0,1.0,0.11983306836248013,200
G75S510_G75S490_l1,G75S510,247.0,4591.0,1.0,0.863275039745628,200
G75S510_G75S490_l1,G75S520,247.0,1347.0,1.0,0.21860095389507153,200
G75S510_G75S490_l1,,,,,,200
G75S510_G75S490_l1,G75S541,247.0,292.0,1.0,0.008942766295707472,200
G75S510_G75S490_l1,G75S510,247.0,4591.0,1.0,0.863275039745628,200
G75S510_G75S490_l1,,,,,,200
G75S510_G75S490_l1,G75S520,247.0,1347.0,1.0,0.21860095389507153,200
G75S510_G75S490_l1,,,,,,200
