time,V_ai0,V_ai1
0 sec,3.44507227149177,8.17350621229092
0.00025 sec,3.44252675917688,8.17350621229092
0.0005 sec,3.44507227149177,8.17859734961934
0.00075 sec,3.44252675917688,8.17096064362672
0.001 sec,3.43998124686199,8.16841507496251
0.00125 sec,3.44761778380666,8.18114291828354
0.0015 sec,3.45270880843644,8.17859734961934
0.00175 sec,3.44507227149177,8.16586950629831
0.002 sec,3.44252675917688,8.0818657403795
0.00225 sec,3.45016329612156,8.0818657403795
0.0025 sec,3.44252675917688,8.08695687770791
0.00275 sec,3.44252675917688,8.09459358370053
0.003 sec,3.44761778380666,8.0818657403795
0.00325 sec,3.44252675917688,8.0818657403795
0.0035 sec,3.4374357345471,8.09204801503633
0.00375 sec,3.45270880843644,8.0818657403795
0.004 sec,3.44761778380666,8.0818657403795
0.00425 sec,3.45270880843644,8.09204801503633
0.0045 sec,3.4374357345471,8.17605178095513
0.00475 sec,3.44252675917688,8.16077836896989
0.005 sec,3.44761778380666,8.18114291828354
0.00525 sec,3.45016329612156,8.18623405561195
0.0055 sec,3.44507227149177,8.16841507496251
0.00575 sec,3.44252675917688,8.17350621229092
0.006 sec,3.45016329612156,8.18623405561195
0.00625 sec,3.44252675917688,8.16841507496251
0.0065 sec,3.44252675917688,8.16586950629831
0.00675 sec,3.45270880843644,8.17859734961934
0.007 sec,3.43998124686199,8.17859734961934
0.00725 sec,3.43234470991731,8.16841507496251
0.0075 sec,3.44252675917688,8.16841507496251
0.00775 sec,3.45270880843644,8.17859734961934
0.008 sec,3.44507227149177,8.16841507496251
0.00825 sec,3.44507227149177,8.17350621229092
0.0085 sec,3.44252675917688,8.17350621229092
0.00875 sec,3.44761778380666,8.17350621229092
0.009 sec,3.44761778380666,8.17605178095513
0.00925 sec,3.44507227149177,8.16841507496251
0.0095 sec,3.45016329612156,8.17096064362672
0.00975 sec,3.44252675917688,8.18623405561195
0.01 sec,3.4374357345471,8.17096064362672
0.01025 sec,3.4374357345471,8.17096064362672
0.0105 sec,3.45270880843644,8.18368848694775
0.01075 sec,3.45016329612156,8.17605178095513
0.011 sec,3.43489022223221,8.16586950629831
0.01125 sec,3.44252675917688,8.16841507496251
0.0115 sec,3.44252675917688,8.17350621229092
0.01175 sec,3.44252675917688,8.17096064362672
0.012 sec,3.45779983306623,8.08695687770791
0.01225 sec,3.44507227149177,8.0818657403795
0.0125 sec,3.44507227149177,8.0818657403795
0.01275 sec,3.43489022223221,8.08695687770791
0.013 sec,3.44761778380666,8.07422903438688
0.01325 sec,3.45525432075133,8.0818657403795
0.0135 sec,3.45016329612156,8.09459358370053
0.01375 sec,3.43489022223221,8.0818657403795
0.014 sec,3.43998124686199,8.07422903438688
0.01425 sec,3.44761778380666,8.08695687770791
0.0145 sec,3.45270880843644,8.17605178095513
0.01475 sec,3.44252675917688,8.16586950629831
0.015 sec,3.43998124686199,8.17096064362672
0.01525 sec,3.45270880843644,8.18368848694775
0.0155 sec,3.44507227149177,8.17350621229092
0.01575 sec,3.43998124686199,8.16841507496251
0.016 sec,3.45270880843644,8.17859734961934
0.01625 sec,3.44252675917688,8.17350621229092
0.0165 sec,3.43234470991731,8.16586950629831
0.01675 sec,3.44252675917688,8.16841507496251
0.017 sec,3.45525432075133,8.18368848694775
0.01725 sec,3.44761778380666,8.17350621229092
0.0175 sec,3.44252675917688,8.17350621229092
0.01775 sec,3.44252675917688,8.17350621229092
0.018 sec,3.44507227149177,8.17605178095513
0.01825 sec,3.44507227149177,8.18368848694775
0.0185 sec,3.44507227149177,8.16841507496251
0.01875 sec,3.45270880843644,8.16841507496251
0.019 sec,3.44252675917688,8.18114291828354
0.01925 sec,3.43489022223221,8.16841507496251
0.0195 sec,3.44252675917688,8.1633239376341
0.01975 sec,3.45525432075133,8.18114291828354
0.02 sec,3.44761778380666,8.18114291828354
0.02025 sec,3.43489022223221,8.16586950629831
0.0205 sec,3.43998124686199,8.17350621229092
0.02075 sec,3.44507227149177,8.17859734961934
0.021 sec,3.44252675917688,8.17350621229092
0.02125 sec,3.45016329612156,8.17350621229092
0.0215 sec,3.45016329612156,8.16841507496251
0.02175 sec,3.44252675917688,8.17350621229092
0.022 sec,3.43998124686199,8.11495813301418
0.02225 sec,3.45779983306623,8.07422903438688
0.0225 sec,3.45270880843644,8.07932017171529
0.02275 sec,3.43998124686199,8.08695687770791
0.023 sec,3.43998124686199,8.0818657403795
0.02325 sec,3.44761778380666,8.0844113090437
0.0235 sec,3.44507227149177,8.09204801503633
0.02375 sec,3.44252675917688,8.08695687770791
0.024 sec,3.44761778380666,8.07422903438688
0.02425 sec,3.44761778380666,8.0844113090437
0.0245 sec,3.44507227149177,8.13532268232783
0.02475 sec,3.4374357345471,8.16077836896989
0.025 sec,3.44507227149177,8.17096064362672
0.02525 sec,3.45016329612156,8.18877962427617
0.0255 sec,3.4374357345471,8.17605178095513
0.02575 sec,3.44252675917688,8.16077836896989
0.026 sec,3.45270880843644,8.17350621229092
0.02625 sec,3.44507227149177,8.17350621229092
0.0265 sec,3.43998124686199,8.17350621229092
0.02675 sec,3.44761778380666,8.17859734961934
0.027 sec,3.44252675917688,8.17350621229092
0.02725 sec,3.43998124686199,8.17096064362672
0.0275 sec,3.44252675917688,8.17096064362672
0.02775 sec,3.45779983306623,8.17350621229092
0.028 sec,3.43998124686199,8.17859734961934
0.02825 sec,3.43489022223221,8.17859734961934
0.0285 sec,3.44252675917688,8.16077836896989
0.02875 sec,3.45270880843644,8.16586950629831
0.029 sec,3.44761778380666,8.18877962427617
0.02925 sec,3.44507227149177,8.17605178095513
0.0295 sec,3.44252675917688,8.16586950629831
0.02975 sec,3.44252675917688,8.17859734961934
0.03 sec,3.43998124686199,8.17859734961934
0.03025 sec,3.44507227149177,8.1633239376341
0.0305 sec,3.45270880843644,8.18114291828354
0.03075 sec,3.44507227149177,8.17859734961934
0.031 sec,3.4374357345471,8.16586950629831
0.03125 sec,3.44761778380666,8.16586950629831
0.0315 sec,3.44761778380666,8.17605178095513
0.03175 sec,3.45016329612156,8.18114291828354
0.032 sec,3.44252675917688,8.17859734961934
0.03225 sec,3.44252675917688,8.07422903438688
0.0325 sec,3.44252675917688,8.0818657403795
0.03275 sec,3.43489022223221,8.0818657403795
0.033 sec,3.44761778380666,8.0844113090437
0.03325 sec,3.45525432075133,8.0818657403795
0.0335 sec,3.43998124686199,8.08695687770791
0.03375 sec,3.4374357345471,8.0818657403795
0.034 sec,3.44761778380666,8.07422903438688
0.03425 sec,3.45270880843644,8.0844113090437
0.0345 sec,3.45016329612156,8.08950244637212
0.03475 sec,3.43998124686199,8.1633239376341
0.035 sec,3.43998124686199,8.16586950629831
0.03525 sec,3.45525432075133,8.18623405561195
0.0355 sec,3.44507227149177,8.17096064362672
0.03575 sec,3.45016329612156,8.16586950629831
0.036 sec,3.45270880843644,8.18114291828354
0.03625 sec,3.44252675917688,8.17350621229092
0.0365 sec,3.4374357345471,8.1633239376341
0.03675 sec,3.43998124686199,8.18114291828354
0.037 sec,3.45779983306623,8.17859734961934
0.03725 sec,3.44507227149177,8.16586950629831
0.0375 sec,3.4374357345471,8.16841507496251
0.03775 sec,3.45016329612156,8.16841507496251
0.038 sec,3.44252675917688,8.17096064362672
0.03825 sec,3.43998124686199,8.17605178095513
0.0385 sec,3.45270880843644,8.17350621229092
0.03875 sec,3.45016329612156,8.17096064362672
0.039 sec,3.44252675917688,8.17350621229092
0.03925 sec,3.43998124686199,8.17096064362672
0.0395 sec,3.44507227149177,8.17096064362672
0.03975 sec,3.45016329612156,8.18877962427617
0.04 sec,3.43998124686199,8.17859734961934
0.04025 sec,3.43998124686199,8.16077836896989
0.0405 sec,3.44761778380666,8.17859734961934
0.04075 sec,3.44761778380666,8.17605178095513
0.041 sec,3.44761778380666,8.16841507496251
0.04125 sec,3.45270880843644,8.17605178095513
0.0415 sec,3.44252675917688,8.18114291828354
0.04175 sec,3.4374357345471,8.17096064362672
0.042 sec,3.44252675917688,8.16586950629831
0.04225 sec,3.45525432075133,8.0818657403795
0.0425 sec,3.44761778380666,8.0844113090437
0.04275 sec,3.43489022223221,8.0844113090437
0.043 sec,3.44507227149177,8.07422903438688
0.04325 sec,3.45270880843644,8.07677460305108
0.0435 sec,3.44507227149177,8.0844113090437
0.04375 sec,3.45270880843644,8.08695687770791
0.044 sec,3.45016329612156,8.07422903438688
0.04425 sec,3.44252675917688,8.0844113090437
0.0445 sec,3.43998124686199,8.0844113090437
0.04475 sec,3.44761778380666,8.1633239376341
0.045 sec,3.45525432075133,8.17096064362672
0.04525 sec,3.45016329612156,8.18877962427617
0.0455 sec,3.4374357345471,8.16841507496251
0.04575 sec,3.45016329612156,8.16077836896989
0.046 sec,3.45016329612156,8.17859734961934
0.04625 sec,3.44761778380666,8.17859734961934
0.0465 sec,3.43998124686199,8.17605178095513
0.04675 sec,3.44507227149177,8.17350621229092
0.047 sec,3.45016329612156,8.17605178095513
0.04725 sec,3.43998124686199,8.16586950629831
0.0475 sec,3.43998124686199,8.17859734961934
0.04775 sec,3.45016329612156,8.17605178095513
0.048 sec,3.43998124686199,8.17096064362672
0.04825 sec,3.43489022223221,8.17350621229092
0.0485 sec,3.45016329612156,8.1633239376341
0.04875 sec,3.45016329612156,8.16841507496251
0.049 sec,3.44761778380666,8.18877962427617
0.04925 sec,3.43998124686199,8.17605178095513
0.0495 sec,3.44252675917688,8.1633239376341
0.04975 sec,3.44507227149177,8.17605178095513
0.05 sec,3.43998124686199,8.17859734961934
0.05025 sec,3.45016329612156,8.16586950629831
0.0505 sec,3.44507227149177,8.17605178095513
0.05075 sec,3.44252675917688,8.17859734961934
0.051 sec,3.43998124686199,8.16586950629831
0.05125 sec,3.44252675917688,8.16841507496251
0.0515 sec,3.45525432075133,8.17859734961934
0.05175 sec,3.45016329612156,8.18114291828354
0.052 sec,3.4374357345471,8.17350621229092
0.05225 sec,3.44252675917688,8.07932017171529
0.0525 sec,3.45270880843644,8.08950244637212
0.05275 sec,3.44761778380666,8.0844113090437
0.053 sec,3.44761778380666,8.0844113090437
0.05325 sec,3.44761778380666,8.07932017171529
0.0535 sec,3.43998124686199,8.0818657403795
0.05375 sec,3.4374357345471,8.08950244637212
0.054 sec,3.44252675917688,8.08695687770791
0.05425 sec,3.45525432075133,8.0818657403795
0.0545 sec,3.43998124686199,8.09713915236473
0.05475 sec,3.44507227149177,8.17350621229092
0.055 sec,3.45016329612156,8.16586950629831
0.05525 sec,3.44507227149177,8.18368848694775
