dates,times,Var3
01/01/2020,00:00:00,0
01/01/2020,00:05:00,0
01/01/2020,00:10:00,0
01/01/2020,00:15:00,0
01/01/2020,00:20:00,0.222222222222222
01/01/2020,00:25:00,0
01/01/2020,00:30:00,0
01/01/2020,00:35:00,0
01/01/2020,00:40:00,0.444444444444444
01/01/2020,00:45:00,0
01/01/2020,00:50:00,0
01/01/2020,00:55:00,0
01/01/2020,01:00:00,0.666666666666667
01/01/2020,01:05:00,0
01/01/2020,01:10:00,0
01/01/2020,01:15:00,0
01/01/2020,01:20:00,0.888888888888889
01/01/2020,01:25:00,0
01/01/2020,01:30:00,0
01/01/2020,01:35:00,0
01/01/2020,01:40:00,1.11111111111111
01/01/2020,01:45:00,0
01/01/2020,01:50:00,0
01/01/2020,01:55:00,0
01/01/2020,02:00:00,1.33333333333333
01/01/2020,02:05:00,0
01/01/2020,02:10:00,0
01/01/2020,02:15:00,0
01/01/2020,02:20:00,1.55555555555556
01/01/2020,02:25:00,0
01/01/2020,02:30:00,0
01/01/2020,02:35:00,0
01/01/2020,02:40:00,1.77777777777778
01/01/2020,02:45:00,0
01/01/2020,02:50:00,0
01/01/2020,02:55:00,0
01/01/2020,03:00:00,2
01/01/2020,03:05:00,0
01/01/2020,03:10:00,0
01/01/2020,03:15:00,0
01/01/2020,03:20:00,0
01/01/2020,03:25:00,0
01/01/2020,03:30:00,0
01/01/2020,03:35:00,0
01/01/2020,03:40:00,0
01/01/2020,03:45:00,0
01/01/2020,03:50:00,0
01/01/2020,03:55:00,0
01/01/2020,04:00:00,0
01/01/2020,04:05:00,0
01/01/2020,04:10:00,0
01/01/2020,04:15:00,0
01/01/2020,04:20:00,0
01/01/2020,04:25:00,0
01/01/2020,04:30:00,0
01/01/2020,04:35:00,0
01/01/2020,04:40:00,0
01/01/2020,04:45:00,0
01/01/2020,04:50:00,0
01/01/2020,04:55:00,0
01/01/2020,05:00:00,0
01/01/2020,05:05:00,0
01/01/2020,05:10:00,0
01/01/2020,05:15:00,0
01/01/2020,05:20:00,0
01/01/2020,05:25:00,0
01/01/2020,05:30:00,0
01/01/2020,05:35:00,0
01/01/2020,05:40:00,0
01/01/2020,05:45:00,0
01/01/2020,05:50:00,0
01/01/2020,05:55:00,0
01/01/2020,06:00:00,0
